id,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,5.554904916500614,5.531923335252954,5.505944801342396,5.477330330925183,5.451299293654754,5.429310229442017,5.401304776806931,5.37556996544035,5.344703232019386,5.309653138510668,5.281519874220295,5.257132681016046,5.230563618258033,5.184487507043516,5.138771006794976,5.134460545901082,5.145330949398182,5.160699422465231,5.096894346219327,4.909786018696824,4.69511789302259,4.441422620910775,4.164414949648164,3.831451126798088,3.4259259025650373,3.0857224479794554,2.8280393810043356,2.6670944391435176,2.589896120393557,2.5393547782213868,2.4409217608138944,2.3145392016287554,2.2853072582695493,2.3478420623523406,2.413440881019495,2.4002342506808456,2.320422196765619,2.2462666446917887,2.1917982518618873,2.144783936722878,2.05228856150637,1.9225298676997122,1.811435790652221,1.7309590226180709,1.6613006550527252,1.5998432229688608,1.5420896126694068,1.493407777835502,1.461775779071506,1.4423028558649769,1.443227871888029,1.459065567098504,1.4562797060762045,1.4383053658918785,1.4257500555075546,1.4236445506128719,1.4221992921456277,1.414181172084237,1.386882576576863,1.3236767207015625,1.1851243826831248,1.1616953085574497,1.2805998819501787,1.3395526220701541,1.4047887013174116,1.5650055853984262,1.6820252522058756,1.6432015936184619,1.5538062203707161,1.434302967298557,1.302661929888681,1.227822956008223,1.2145063912123748,1.2239807912766714,1.2224478017014635,1.2203022042788294,1.2176685828269345,1.2146581529205658,1.2113787171171402,1.207897940987598,1.204265054864396,1.200530793753264,1.1967379492354449,1.1929185220263456,1.1891056440699292,1.1853233240574015,1.181592368479581,1.1779274642473287,1.1743432999415875,1.1708576964622641,1.1674932499372583,1.1642661310556688,1.1611903099489678,1.158285105597952,1.1555572972467374,1.153012174864947,1.1506515845797476,1.1484741447151714,1.1464749653300768,1.1446470743149797,1.1429823645209902,1.1414725116321771,1.14010912780191,1.1388836848917476,1.137790587021256,1.1368232650022791,1.135975825882529,1.1352421896750793,1.1346175362760358,1.1340962015530087,1.1336730337143919,1.1333431975572903,1.1331022520115304,1.132946065257942,1.1328702560967363,1.1328713496687268,1.1329452609968693,1.1330880813612239,1.1332961102590324,1.1335662679446998,1.1338948579087669,1.1342789678994565,1.1347158392314745,1.1352027554613442,1.135737119601442,1.13631640603117,1.1369381880531573,1.1376000484323694,1.1382996833813543,1.1390348637493486,1.139803445121857,1.140603386049393,1.141432709539617,1.1422895549829586,1.1431721423283188,1.1440788255003564,1.145008036979724,1.1459583315743442,1.1469283635207432,1.1479168864558478,1.1489227644325448,1.1499445432801765,1.1509809897225853,1.1520307374360206,1.153091705054335,1.1541618220345913,1.1552369797265334,1.1563141576522187,1.1573901776822513,1.1584617225186609,1.1595264348472807
1,5.408474932427802,5.340799882563888,5.268196151964942,5.192777197959202,5.114804669841784,5.031241412118235,4.943725434244109,4.852659640974425,4.759032761293456,4.664604158961336,4.567424480593406,4.468350674731572,4.367402354211506,4.263160365891084,4.15728283810856,4.052877397267431,3.9574237343911265,3.8826915687388937,3.8199177061868506,3.7577983016134944,3.6961626845718256,3.6372663874279167,3.580629686625395,3.525624533537407,3.4723519415562474,3.4219027219118945,3.3775074103620835,3.3413657109895807,3.3094485622115744,3.2791549048823803,3.2495241158109165,3.221783929899552,3.196154210568713,3.1725987355203404,3.1502160606285945,3.1281343005077544,3.1077350394553034,3.0883128215210407,3.0674905602042637,3.045912304279918,3.023380664350877,2.9999023140443413,2.974518514971775,2.946156258921799,2.91577822582703,2.88299276130326,2.8484413970054034,2.8116472858087596,2.772385867554979,2.731873142835603,2.6887631683956026,2.642340368150152,2.592625222444963,2.5413642334854654,2.4880807618885106,2.4327436322815594,2.376396643284365,2.3194439317537556,2.261112110006122,2.2019036185381213,2.141884158291247,2.081357165848841,2.020100480679958,1.9591218594725575,1.8981054386961154,1.8376466032320293,1.7787243371481865,1.7194008960936213,1.6606732405813251,1.6041074285103816,1.5501327815328394,1.505296425116403,1.4810169298490998,1.4582517730427118,1.4430977434392431,1.4293208701982272,1.416823916620054,1.4054722902235883,1.395195203424669,1.3858305884346882,1.3772191458586902,1.3692295794921132,1.3617399711243434,1.3545874254752908,1.3476613568494367,1.340839755513696,1.3340205023020082,1.3271234626622592,1.3200906657225495,1.3129152149676926,1.3056067713169008,1.298226387600334,1.2908513652206834,1.2835687849333115,1.2764573156447359,1.2696158327489584,1.263102713615683,1.2569687848669904,1.2512404133652417,1.24591021954211,1.240965673708875,1.2363701294024587,1.2320790197359899,1.2280501112728075,1.2242523236785667,1.2206528892620394,1.2172337227500898,1.2139802439194944,1.2108827583608968,1.2079311503471646,1.20511602762849,1.2024292337186226,1.199864043021175,1.197414308572886,1.1950722922621828,1.1928336279457366,1.1906934064478643,1.1886471893696111,1.1866908241919507,1.1848212164604999,1.1830340842785039,1.1813263040659063,1.179694890399799,1.1781370075439752,1.176649955041872,1.1752311422079047,1.173878073812063,1.1725883667932164,1.171359739543843,1.170190003540892,1.1690770799935435,1.1680189696620216,1.1670137673819898,1.1660596650256096,1.1651549309471432,1.1642979207987374,1.1634870690680894,1.162720886631952,1.16199796041867,1.1613169217045256,1.1606764796685276,1.1600752783701984,1.1595121226612952,1.1589857497419884,1.1584947924121411,1.158037597971929,1.157610662453427,1.1572101286641785,1.1568310446928263,1.156467920311068,1.1561152901906075
2,6.595300070392218,6.596229578889402,6.596811947417251,6.595949565505301,6.593517504212435,6.588454410952811,6.58027526700743,6.569412116684573,6.555874920052107,6.5392736401172,6.521007395913305,6.4999124212204045,6.474669705534389,6.446970525057655,6.418478812205639,6.390417627632671,6.364163782643413,6.337536353621596,6.309951786323014,6.281063575805855,6.25134203614723,6.220296074158093,6.1888221324184505,6.156772776089472,6.123725149439065,6.089912775470458,6.053603018056597,6.014712757350071,5.973080135848818,5.929914564828738,5.886570920962595,5.842565837528982,5.79769618962741,5.7519984416617564,5.7083939469676475,5.667151116228313,5.6312038874765715,5.6036255230439895,5.579059193854038,5.547858513113462,5.498909203140294,5.412207592017739,5.271415358039492,5.081362130901173,4.852981372678497,4.6199325451802595,4.418139465346685,4.242724513914263,4.092616456782275,3.959763740695532,3.831434544395505,3.70373435976585,3.586565846865465,3.483361258616496,3.385526865458715,3.29202167428408,3.2076187264137586,3.1305770802385915,3.0566557139254833,2.9847192471301285,2.918320849367251,2.857738588022883,2.801908058897469,2.750397350593544,2.7039204891660824,2.669662272921925,2.649771756994744,2.638726578707696,2.631352094322761,2.6245057911695184,2.6153112422750815,2.6058898190181794,2.5921232567511026,2.5357823755172832,2.5054251787267665,2.4739464882216713,2.4414781813130513,2.408117802930976,2.373936916477407,2.3390439250302837,2.3035467478239657,2.2675118847622837,2.2310412876019106,2.1942191483153377,2.157146421255832,2.1199422535401657,2.082778102479693,2.0458477962450234,2.0093672486234206,1.9735529950621058,1.9386201862758872,1.9047476932474927,1.8720367551261605,1.8405400339788676,1.8102586383599484,1.7811545297144342,1.7531812373158693,1.7262916969629407,1.7004386171434862,1.6755819828806557,1.6516850539429269,1.6287131173896703,1.606629822793426,1.5853949046226823,1.564964963284069,1.5453021739177977,1.5263714871934946,1.5081353163459397,1.4905661090868605,1.4736403967791296,1.4573266525589956,1.4415932148149748,1.4264047782351439,1.4117279084235834,1.397526956956921,1.38377260021853,1.3704444434430918,1.3575238484950185,1.3449967634851874,1.3328538982358287,1.3210863458873618,1.309682520529611,1.2986348763507873,1.2879356401922641,1.2775776549983655,1.2675534432483924,1.2578555682857093,1.2484763031825523,1.239408538784651,1.2306444352178139,1.2221763263107794,1.2139970395683735,1.2060989420048,1.1984747818307684,1.1911172394211578,1.1840192818878321,1.1771739869555793,1.170574543083615,1.1642136161892755,1.1580847939123862,1.1521815862128932,1.1464959628715703,1.1410206066657496,1.1357471670727857,1.1306676785955763,1.1257738832213118,1.1210570972372538,1.1165102715721944,1.1121272549676,1.1079019964914114,1.1038284435955277
3,6.071173144147085,6.072264560026033,6.072373439915868,6.071083093368426,6.069482961602719,6.065201540370316,6.055807032912725,6.043659906207815,6.031887485128665,6.019888557285926,6.0097874697243245,5.999184661437676,5.986470580614438,5.9656583709501865,5.937623698455271,5.901215487768047,5.852977030663994,5.789959834771022,5.713482046879477,5.623280313119799,5.520354306636112,5.409635027292539,5.3026296255732195,5.197867080391532,5.080680898935223,4.957285548102767,4.830097597644608,4.710692809208068,4.5930154006237,4.452655824126599,4.27911962484521,4.099301465289318,3.9458555092007073,3.797040676227892,3.635806946459514,3.4718961712880922,3.3305689206593945,3.220702888911318,3.1247576780366435,3.0351418011524607,2.95517837274615,2.879606118551917,2.81260786174431,2.7561199879176366,2.704173154353382,2.663123473096884,2.6262997063855105,2.5875349493511277,2.5532447799760254,2.528200581490445,2.516008869894846,2.5139605434476064,2.507377352036655,2.4987014145065944,2.492347011857667,2.4867353942256116,2.48110269575043,2.469278224716108,2.450580617060375,2.4267110645037815,2.393855318982355,2.3522694938102613,2.3076011538322163,2.263366793985118,2.2209070623878953,2.1794768423772983,2.1406108881357686,2.103920757303518,2.06843327925721,2.034449143197272,2.000904989527133,1.9733190590090903,1.9596948769663904,1.937909882806075,1.9239402298803607,1.9104101606026511,1.8971787604663406,1.8838697047612785,1.8702280433733283,1.8561983300977543,1.8417988283008502,1.8269851497091196,1.811732165166737,1.796019784148492,1.7798300267269862,1.7631693894766247,1.746104142167107,1.7287449733110911,1.7112443632957715,1.693828498837322,1.676707311618424,1.6600065094117218,1.643791122091099,1.6280689249276772,1.6128173981407954,1.5980111188947486,1.5836383996265682,1.5696925591839779,1.5561838985943917,1.5431230930044915,1.5305213666382587,1.518399176456757,1.5067736293507554,1.4956642632744457,1.4850958356217203,1.475079422759039,1.4656080930914326,1.4566677295469757,1.448240371928626,1.440289542078245,1.4327740172920564,1.425655159283975,1.4188954188968856,1.4124522700138071,1.4062906888727331,1.4003878055164707,1.3947237198904077,1.3892823116314659,1.3840546875086075,1.3790301316973752,1.3741966939762231,1.369547359228979,1.3650752681234637,1.3607738630312336,1.3566368028275295,1.3526579324561074,1.3488314033770323,1.3451514739677035,1.3416126591838096,1.338209644610488,1.3349372535259836,1.3317905808581718,1.3287648944815913,1.3258555827484024,1.3230582789583523,1.3203687383093459,1.3177829042002676,1.3152968017877495,1.312906621010758,1.3106087174115004,1.3083996296682243,1.3062755670788977,1.3042329403142652,1.3022680455234998,1.3003771270649267,1.2985564605920243,1.2968018044128433,1.295109602681351,1.293476517124463,1.2918993505952123,1.2903751715759855
4,6.652926300972425,6.657923989718304,6.663157871972802,6.668348566044795,6.673777311189224,6.677687389054479,6.678869395576348,6.678935559901986,6.677238703864383,6.674251268086882,6.670462096158118,6.6638329161473,6.656188281562073,6.647041971876661,6.636970110587845,6.626521024838157,6.615025596930673,6.604109978238714,6.591599700616076,6.578593789280665,6.56453050047025,6.547091166376429,6.525373619187694,6.500255496671259,6.471682603177722,6.439257609964028,6.403677702209443,6.363784215898641,6.318572514503839,6.269823398058876,6.21840936798683,6.165927026264015,6.11246397471388,6.055783289010504,5.998916892567012,5.94231820754574,5.8848505342352,5.827801086791717,5.77175739829392,5.716617742544337,5.663007888350554,5.6107612599763295,5.557776218028229,5.503493679158689,5.441771116342376,5.370259909304456,5.287627412487234,5.188177940067377,5.067152095449254,4.92114259042817,4.7514751799609405,4.564500398687492,4.367301281916217,4.169005111502972,3.9818248020618126,3.81698419252843,3.6661999439599167,3.523768981813296,3.392916805031311,3.2760291149254557,3.177828597398452,3.103872572791779,3.0519063883606314,3.0112576875663866,2.9760665558892305,2.941446535701366,2.909334423797537,2.8797053253991987,2.850114087916901,2.8204415115201034,2.7887449699926483,2.7612806453276026,2.7367969297694446,2.6580180060381844,2.6125323727288734,2.566242574333025,2.519330784137529,2.4719907272896475,2.424412624443904,2.376803679612669,2.329369455715174,2.282302817561942,2.235781863496037,2.1899622436544752,2.145011456391132,2.10110138024745,2.058390543883446,2.0170194865789792,1.9770970888398884,1.938682265422411,1.901794178538911,1.86642390584958,1.8325450247154684,1.8001093804130461,1.7690701358207663,1.7393764752061545,1.7109674289453973,1.6837767773943126,1.657740280328897,1.6327904063357497,1.6088618272811965,1.5858957090165553,1.5638379230431871,1.5426383034815307,1.5222508466411657,1.5026358780329665,1.4837555658804409,1.465572034419302,1.4480522039321302,1.4311653547476266,1.4148837482738124,1.399183900528944,1.3840459589409912,1.369451627879085,1.3553833096888708,1.3418250861361818,1.3287614534728822,1.3161771567506606,1.304057632461836,1.2923900265657038,1.2811603716190385,1.2703560855014104,1.259964724546521,1.2499740865848628,1.2403713123155047,1.2311441157842076,1.2222805805034003,1.2137691078690818,1.20559804473386,1.197756043632188,1.1902322746167489,1.183016041231493,1.1760963387132677,1.1694628181042472,1.1631053309842108,1.157014204189233,1.1511794818202568,1.1455923091985174,1.1402437383047865,1.1351249361952154,1.1302275674227713,1.1255418555396082,1.1210583331036288,1.1167670223295607,1.112658359681594,1.1087234424289507,1.1049541326908632,1.101342702279904,1.097883317711677,1.0945698085015854,1.0913958853075205
5,6.894619368368974,6.86919252771666,6.8403950326346274,6.8096997972580136,6.775234547310047,6.729684366586908,6.652889795340018,6.490857250268509,6.315159258512432,6.2313085019347465,6.209345161240801,6.1539828208992065,6.021025926040389,5.8817245804991005,5.7658527951607,5.657790219525771,5.5272325512526095,5.3716914022982145,5.200897497959187,5.036596751673457,4.8885181346395985,4.738121372470045,4.600214885396654,4.477192729722025,4.360267578067591,4.250721823820019,4.145874330272591,4.055020562175956,3.999953053536027,3.982433930819332,3.9797987112490567,3.965585032740714,3.9338327225919287,3.9128929689278937,3.901913219520323,3.8541050959535244,3.7626407292321598,3.659277482089647,3.5566239768038184,3.4915136291826863,3.472855461050673,3.464633353896067,3.4460003343600323,3.3962195490700977,3.329648817754044,3.2564112835687515,3.1655140559678183,3.061248496953054,2.972767202495586,2.8992158695189576,2.80055063654978,2.6666213038575264,2.5461532980859953,2.4619900075714165,2.4002339161975454,2.3545555574202846,2.3290480921225654,2.315457852182562,2.286510364905559,2.2326280758341817,2.1832463830360784,2.150461077044717,2.1036626961593274,2.061241563172875,2.0413170646070737,2.0301088982874336,2.017873898517471,1.9863909662807138,1.935081785683157,1.8784559761033615,1.837736352412091,1.8135177258638087,1.79885851503091,1.765578904754802,1.7478976934980142,1.7308563945011621,1.7144310503908788,1.6985915260964137,1.683309053059324,1.668552639442229,1.654292681807512,1.640477855722239,1.6270296317606812,1.6138602947979879,1.60086144103054,1.5879598805786617,1.5750864191344396,1.562187578566785,1.5492340466284245,1.536214477183796,1.5231290252968834,1.5099726488272582,1.4967361585480445,1.4834240685834807,1.470050938966806,1.4566621289072188,1.4433320356355657,1.4301565762861124,1.4172303046468362,1.4046410174345352,1.3924566856274423,1.380724695831757,1.369471688458164,1.3587125363597885,1.3484584656891,1.3387255901013222,1.3295281978437845,1.3208716798441453,1.3127485885930443,1.3051410048978358,1.2980149843726412,1.2913254025981127,1.28502310867023,1.2790624214899862,1.2734002330973602,1.2679988018196546,1.262830037400865,1.2578755594399673,1.2531219475429176,1.2485598273167582,1.2441808073741767,1.2399771861060205,1.2359413740433118,1.2320674985856572,1.2283496870062065,1.224782356402896,1.2213600976576138,1.2180776558419228,1.2149299582704123,1.2119121545226605,1.2090194900963558,1.206247357928244,1.20359132562924,1.2010471279146022,1.1986106714697013,1.196277985812691,1.194045260166185,1.1919088269597606,1.1898651629651118,1.1879108923132842,1.186042744800949,1.1842573837626997,1.1825517033176702,1.180922500589842,1.1793666601759414,1.177881136921353,1.1764627491835942,1.1751084227079958,1.1738151382636686,1.1725797722671156,1.1713990741325115
6,4.9737847977869345,4.952570841588084,4.931730082757785,4.905301298677878,4.874212335962559,4.8440938654808,4.821376028833669,4.809741336969987,4.81389620902105,4.83481475486714,4.872252479754564,4.923189843737337,4.99098350949872,5.0921633807387225,5.227040875631523,5.372301642418172,5.520629032819626,5.672128323196959,5.819339719083372,5.949203743454845,6.051733825775109,6.128261341686287,6.186282487055635,6.230515989242625,6.268170054615387,6.303188602155686,6.331186850027243,6.355851080708111,6.389465080879539,6.429344088907715,6.463221275288714,6.4872000056422605,6.498172227233106,6.494063936140362,6.464146349422296,6.397199490791427,6.293312883484971,6.159187763240403,6.000288078755093,5.812714123453075,5.592723364980913,5.3378876428149,5.0461675237472745,4.722981031538614,4.367450344189093,3.983606280185743,3.62714824584174,3.33499334568071,3.0991156770296215,2.914197838705279,2.7635651458034505,2.6317625507302447,2.5238580936219894,2.441100240448767,2.3786750127682224,2.3307732979894773,2.2953762861510194,2.2647981807133633,2.232196786370746,2.195154204588774,2.1563244808647206,2.11019297391839,2.0585847365150527,2.0050503983522514,1.947780280984393,1.8912521026380427,1.8376083973344643,1.7880310634576269,1.7432711926434385,1.7042941151930466,1.6701662535097348,1.6437904314878857,1.6285211634055923,1.5997271617311482,1.5821507170727511,1.5630784543406828,1.542849264850169,1.5217547998544911,1.5000075652361118,1.4777612246856178,1.4551570903443136,1.4323265553074302,1.4094160727799663,1.3865820123322612,1.3639780017066023,1.3417281496524998,1.319895916619994,1.298508372450242,1.2775731409996822,1.2570954343125007,1.2371074388422119,1.2176697052328358,1.1988484380979665,1.1806849041381964,1.1631904146681606,1.1463447802775808,1.130105515819607,1.1144212213874907,1.099248165484196,1.084557108924367,1.070332416619499,1.0565667738123654,1.0432566772895322,1.0304005790643878,1.0179976306974412,1.0060478429374857,0.9945519652708439,0.9835082860400575,0.9729127780430877,0.9627595069764624,0.9530374549288715,0.9437291908393384,0.9348136634693329,0.9262688935819355,0.9180722250919,0.9102025324467803,0.9026426101468064,0.8953803666938611,0.8884048254943103,0.8817065827545477,0.8752763871342859,0.8691052409048976,0.863184073647122,0.8575046415996743,0.8520589347606347,0.8468384095734945,0.8418349011043028,0.8370408554789499,0.8324481863583146,0.828049580504039,0.8238376568700331,0.8198050345368931,0.8159450012451664,0.8122505855447413,0.8087152490875881,0.8053327906112833,0.8020972554519287,0.799002691830227,0.7960437685421595,0.7932145367556663,0.7905099582590577,0.7879249095000891,0.7854546673368379,0.783094484894123,0.7808396926150409,0.7786856515571217,0.7766266283367443,0.7746574823876028,0.7727731673323778,0.7709689562541594,0.7692404336030821
7,6.452842425241944,6.44723486604238,6.441659704411221,6.4363282330979334,6.430789605677853,6.4225986724454724,6.412203118922414,6.400125905811915,6.386363744686939,6.370938962014829,6.353583018484354,6.3342220043046735,6.31548799748158,6.2981839273834765,6.281848885529899,6.264191728790974,6.24707186397064,6.230305794680393,6.212940303649103,6.194255618798385,6.174024287222173,6.150822276317621,6.125380844274034,6.095062291030635,6.057846794631135,6.0101972390334755,5.945612354679932,5.858553513782589,5.747356179949849,5.609819928863644,5.439341561006773,5.230972451129797,4.996781048433837,4.766960096135899,4.539632388431772,4.308601298801505,4.100210801867572,3.914190616661796,3.7387113629983397,3.578333807140522,3.4313830736539135,3.2976513410600785,3.1783494494768254,3.0742918971642856,2.9857379937,2.908481467587452,2.8439267120126726,2.7927450172769643,2.7479801312998013,2.7076867409682497,2.6711505487995195,2.6380236319249804,2.608843418001972,2.580351278766306,2.554191160678028,2.531752025466593,2.5164840437396596,2.5081963336710853,2.5013385673211377,2.495204751897787,2.489792095361807,2.486994927481038,2.4859467249024974,2.485852180857089,2.489214079254778,2.492830859361075,2.492325617976282,2.483908278568164,2.4675652700684947,2.44726821778995,2.4227483462873503,2.4018712688959596,2.3912582321729086,2.368231798929037,2.351037681968588,2.332057305776426,2.311463965716068,2.289381683660828,2.2658675920525804,2.2411075463740517,2.215281188740696,2.1885891796429453,2.161227870569759,2.1333001369777875,2.1050012678212133,2.07639983099924,2.047583128358385,2.0186500202175623,1.9897512429127295,1.9610659734917983,1.9327811177971892,1.9050833200912747,1.8781204750934242,1.8519729883078222,1.8266519605883023,1.802124714250652,1.7783417937610222,1.755248123415877,1.7327922761369157,1.7109397511796398,1.6896740097691214,1.6689901709449773,1.648897514615178,1.6294087333587333,1.6105336006703366,1.5922809582468003,1.5746721723736026,1.5577270844019158,1.5414620260042355,1.525894931246948,1.5110327772250287,1.4968672801029663,1.483375159792582,1.47051549134644,1.4582419051484306,1.4464962454479864,1.4352233155762062,1.4243814931626064,1.4139380067537262,1.4038672793625617,1.3941528809572081,1.3847802503381776,1.3757348376128407,1.367004624052779,1.3585808148757605,1.3504545508209445,1.34261720945144,1.3350602715388475,1.3277753992968513,1.320754381764916,1.3139891927647656,1.3074720120121708,1.3011951884945876,1.2951512314429128,1.2893328277220328,1.283732905423909,1.2783443782850843,1.2731605811898614,1.2681748643792696,1.2633808719425306,1.2587724158033817,1.2543429489682374,1.2500862729257127,1.2459959645921626,1.2420656370948115,1.2382890362924686,1.234659891932138,1.2311722574497943,1.2278207101218648,1.2245997708656073,1.2215041348213498
8,6.745029745315949,6.7157252020599145,6.687043921219332,6.65553622569379,6.621008010801268,6.587588008730791,6.553392254095264,6.515699548585089,6.476239319154002,6.4328424646198785,6.384079044856558,6.331669636425409,6.274665878197357,6.214492689566981,6.152232050062285,6.083938216677563,6.010982501078175,5.932537890342304,5.849249169157329,5.765344373861274,5.678710311425788,5.589530404097972,5.49768811880473,5.404700500808574,5.314570365302082,5.225047860179769,5.13823013788564,5.053847263035768,4.967858828818336,4.875429587563064,4.774275410966251,4.67235595432895,4.583958147680237,4.509394256085297,4.4410939964357885,4.380437198963914,4.330984175503127,4.286263715010763,4.240826639563907,4.190748225075031,4.135503110295817,4.077758877579196,4.015067033614554,3.9470207315533443,3.8775063073034524,3.816191323194332,3.7639889061956704,3.7164286967314646,3.671974697809872,3.6313660695812007,3.5902294455785118,3.551322691523879,3.515049890000278,3.483583130315451,3.4574363176794427,3.434218638414367,3.409828448714572,3.3839924708349365,3.35642495797953,3.322613999939675,3.2751988998995762,3.2075805835226263,3.1247813019627784,3.0367478690035514,2.9433058088367474,2.8492598436998233,2.7591517533125876,2.6715770844800466,2.587042229539509,2.5104145909972777,2.448668515610883,2.4035321614146072,2.3785460488211725,2.3273378958400763,2.2997086078188027,2.275369072036119,2.253813348201553,2.2344600458047705,2.216757925005068,2.2003109179030487,2.18474531115471,2.1695740077286194,2.1543544059718367,2.138680618813558,2.122249974092182,2.104910001592564,2.0866814171658996,2.067736484258018,2.04835639971769,2.028841888430676,2.0095036148312557,1.9906068036209135,1.9722876015799182,1.9545821621150246,1.9374446528545226,1.9207948134242485,1.904558199616125,1.8886647279238837,1.8730843015784804,1.8578199204344172,1.8428842512212615,1.828304087822042,1.8141188786887983,1.8003689924231983,1.7870906436315095,1.774328922638094,1.7621241596204995,1.750488224610316,1.7394386127951111,1.7289920518456432,1.719128171111644,1.7098001134261214,1.7009479810486776,1.6925030168370623,1.6843883922771308,1.6765433453568466,1.6689345036874195,1.6615390416516935,1.6543416724853064,1.6473361228079981,1.640512790506472,1.6338582830270754,1.6273672859712043,1.621035615692753,1.6148591631465685,1.608833949895952,1.6029560956914255,1.597221810029967,1.5916274052343409,1.586169282622047,1.580843952575031,1.5756480080109732,1.5705781280149005,1.5656311605679734,1.560803965142971,1.5560934377220335,1.5514966080840262,1.5470105912237464,1.5426325797801417,1.538359868791754,1.534189761387146,1.5301188884754031,1.5261440271143545,1.5222615556202037,1.5184676560367376,1.5147587368629456,1.5111309684168044,1.5075814644749541,1.504107640864357,1.5007068714611709,1.49737663412639
9,5.189750748144491,5.131554764767505,5.059500148131357,4.964083653254887,4.883794972262006,4.844483102079095,4.831057290003365,4.836035640376897,4.849899678896418,4.868522432018814,4.888923560510065,4.899412152606609,4.866437422458477,4.775416794260066,4.656750749729242,4.5406569775895385,4.424359676038312,4.30789090559534,4.190750215560754,4.080539785799972,3.9952186419429228,3.9116144905955426,3.8135101738812462,3.737981816187171,3.69394377939521,3.6146400281618627,3.5181093329824034,3.463714957858793,3.435932109581684,3.415523427065353,3.385040912710331,3.295367133156243,3.1477831277706025,3.0067489650176196,2.8798138823000694,2.76889575030991,2.670112478036824,2.5793520768354004,2.5104309358592563,2.474885958690141,2.4676271570227337,2.4584368524269884,2.425084851954099,2.376109750997427,2.3128774752021295,2.2510692768156235,2.1963568129719975,2.151948669325562,2.1361554776875606,2.153519296063069,2.191427768195035,2.240206894074386,2.2832648389172667,2.31264546211324,2.3244815656070728,2.326537595443678,2.3302331725360506,2.3264715998045484,2.312635327186872,2.282705918445556,2.2516539697958353,2.224284202323175,2.198055399435386,2.166689411016528,2.1246520548704586,2.078779958894794,2.039170465272297,2.0043043583339535,1.9690780951689029,1.9281442502435804,1.8849659231196143,1.8478393244689961,1.8310071803136552,1.8185579479062484,1.8050546211406917,1.7916256229321912,1.7783580511823591,1.765288355268582,1.752426151973499,1.7397725032092728,1.7273636878342695,1.7151838521683485,1.7032204633121666,1.6914419009996984,1.679794496729142,1.6682298568929455,1.656684007539071,1.6451019690155297,1.633454761800038,1.6217376991257275,1.609977755535189,1.5982233720503805,1.5865232068519421,1.5749178067849776,1.5634463167955208,1.5521373226673167,1.541021463030403,1.5301288475496195,1.519495557404102,1.509157224910401,1.4991417954933968,1.4894753516565384,1.4801801839728306,1.4712664803566,1.4627363571792957,1.454593611180356,1.446845200094587,1.439488921909216,1.4325134387611118,1.425901609312341,1.4196298693754856,1.4136676598749147,1.40798366268681,1.4025535416274533,1.3973550402126655,1.3923652546283225,1.3875658952187095,1.3829450447099363,1.3784928076747147,1.3742012366879701,1.370065162518661,1.3660781933905755,1.362233600889329,1.3585269366154509,1.3549538362895819,1.3515100893853311,1.3481915964757283,1.3449943982525046,1.341914623804618,1.338948531685189,1.336092502621836,1.3333430345213162,1.3306967545443797,1.3281504243581137,1.325700897553694,1.3233451246006624,1.3210801991477477,1.3189033262407739,1.3168118041328847,1.3148030434602964,1.312874554782334,1.3110233406762795,1.309246461404257,1.3075404423798749,1.305901604857036,1.3043262663057393,1.3028098281447507,1.3013484205949233,1.2999382428262085,1.2985753447845536,1.2972556372726103
